wavelength      transmission
     14.07325256        86.18415156
     14.09111157        86.12975316
     14.10897058        86.07040944
      14.1268296        85.97150325
     14.14468861        85.91215953
     14.16254763        85.80336272
     14.18040664        85.75390962
     14.19826565        85.67478467
     14.21612467          85.536316
     14.23398368        85.43740981
      14.2518427        85.39784733
     14.26821346        85.26432397
     14.28756072        85.18025371
     14.30541974        85.12090999
     14.32327875        85.00222256
     14.34113777        84.90331637
     14.35899678        84.84397265
     14.37685579        84.72528522
     14.39471481        84.60659779
     14.41257382        84.51758222
     14.43043284         84.4582385
      14.4468036        84.31482452
     14.46466261        84.19613709
     14.48400988        84.08239497
     14.50186889         83.9933794
      14.5137749         83.8944732
     14.53163392        83.83512949
     14.54949293        83.71644206
     14.56735195        83.57797339
     14.58521096        83.45928596
     14.59711697        83.34059853
     14.61497598         83.2763095
       14.632835        83.19223924
     14.65069401        83.07355181
     14.66855302        82.95486437
     14.68641204        82.88563004
     14.70427105         82.8163957
     14.72213007        82.68781765
     14.73850083        82.53451306
      14.7578481        82.43066155
     14.77570711         82.3020835
     14.79356612        82.20317731
     14.80547213         82.0943805
     14.82333115        82.01525554
     14.83970191        81.88915015
     14.85904917        81.71853697
     14.87541994        81.58501361
     14.88434944        81.43665432
     14.90072021        81.36247467
     14.91461055          81.224006
     14.93048523        81.09542795
     14.94834425        80.97674052
     14.96620326        80.82838123
     14.98406227        80.69980318
     15.00192129        80.53166266
      15.0168038         80.5019908
     15.02771764        80.27450656
     15.04359232        80.22505346
     15.04359232        80.05691293
     15.05996308        80.10142072
     15.07931035        79.96789736
     15.09716936        79.83931931
     15.10907537        79.72063188
     15.12693439        79.65634285
       15.140031        79.54655698
     15.15669941        79.49314763
     15.17455842        79.38435082
     15.19241744        79.24588215
     15.20432345        79.12719472
     15.22218246        79.00850729
     15.22962372         78.8329488
     15.25343574        78.64008172
     15.26583783        78.57332004
      15.2757595        78.44474199
     15.29361852        78.33594518
     15.30998928        78.20242182
     15.31891879        78.04664457
     15.33528955        77.97988289
     15.33528955        77.85130484
     15.35314856        77.76228926
     15.36505457        77.64360183
     15.37993709        77.54964095
      15.3948196         77.3938637
     15.40791621        77.26182393
     15.42458462        77.14907087
     15.43768123        76.94730224
     15.45434964        76.85235229
     15.47220866        76.69410238
     15.49006767        76.55563371
     15.50792669        76.43694628
     15.52429745        76.30342292
     15.54364471        76.14022771
     15.56150373        76.00175904
     15.56894498        75.83609116
     15.58531575         75.7248217
     15.60168651        75.57646241
     15.61656902        75.41326719
     15.62996328         75.3687594
     15.63293978        75.24018135
